    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
         1   150.5392   104.623  0.000049023  0.000048396  0.676165039  0.323737542  1  1.000000  0.000000   703.8975        NaN  2.758E-01        NaN  0.000049023  0.000048396  0.676165039  0.323737542          NaN          NaN          NaN          NaN
         2   127.8566    93.685  0.203935133  0.001710823  0.046244332  0.748109713  1  1.000000  0.000000   776.8742        NaN  4.965E-01        NaN  0.203935133  0.001710823  0.046244332  0.748109713          NaN          NaN          NaN          NaN
         3   125.6904    91.845  0.000698966  0.000022149  0.062555499  0.936723386  1  1.000000  0.000000   810.5207        NaN  5.925E-01        NaN  0.000698966  0.000022149  0.062555499  0.936723386          NaN          NaN          NaN          NaN
         4   153.0015   100.382  0.961034049  0.000012351  0.027703498  0.011250102  2  0.023083  0.976917   680.5901    94.8301  2.428E-01  1.641E-02  0.408251768  0.000019966  0.193064837  0.398663428  0.976009955  0.000012145  0.023223550  0.000754350
         5   155.7240    72.949  0.003398255  0.555778223  0.171237298  0.269586223  1  1.000000  0.000000   682.1341        NaN  2.669E-01        NaN  0.003398255  0.555778223  0.171237298  0.269586223          NaN          NaN          NaN          NaN
         6   139.2645   107.464  0.073652516  0.004535510  0.005345419  0.916466554  1  1.000000  0.000000   800.2675        NaN  5.527E-01        NaN  0.073652516  0.004535510  0.005345419  0.916466554          NaN          NaN          NaN          NaN
         7   121.4861    74.846  0.705330733  0.203694080  0.000130980  0.090844206  2  0.194197  0.805803   681.6160   107.7450  2.575E-01  1.592E-02  0.323171852  0.296851445  0.000410322  0.379566381  0.824892667  0.174548938  0.000043586  0.000514809
         8   155.6820    94.752  0.000562216  0.063272196  0.551033331  0.385132257  1  1.000000  0.000000   722.6241        NaN  3.267E-01        NaN  0.000562216  0.063272196  0.551033331  0.385132257          NaN          NaN          NaN          NaN
         9   138.8617   107.430  0.000344653  0.997967135  0.001677942  0.000010270  1  1.000000  0.000000   401.3818        NaN  5.104E-02        NaN  0.000344653  0.997967135  0.001677942  0.000010270          NaN          NaN          NaN          NaN
        10   117.8188   100.202  0.445796923  0.426434089  0.100499927  0.027269060  2  0.383956  0.616044   424.4525   185.4178  5.527E-02  2.129E-02  0.330051789  0.465564681  0.149439891  0.054943639  0.548539767  0.391699254  0.057057660  0.002703319
        11   122.9223    91.306  0.335737419  0.005241228  0.659021343  0.000000010  1  1.000000  0.000000   509.1299        NaN  8.170E-02        NaN  0.335737419  0.005241228  0.659021343  0.000000010          NaN          NaN          NaN          NaN
        12   161.8369    97.469  0.000256274  0.021931016  0.178571872  0.799240838  1  1.000000  0.000000   794.4770        NaN  5.423E-01        NaN  0.000256274  0.021931016  0.178571872  0.799240838          NaN          NaN          NaN          NaN
        13   160.4117    80.897  0.528574297  0.003622887  0.461227490  0.006575327  1  1.000000  0.000000   454.9279        NaN  6.397E-02        NaN  0.528574297  0.003622887  0.461227490  0.006575327          NaN          NaN          NaN          NaN
