    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
         1   138.9023    93.000  0.206635633  0.792688781  0.000669281  0.000006305  1  1.000000  0.000000   350.0978        NaN  4.158E-02        NaN  0.206635633  0.792688781  0.000669281  0.000006305          NaN          NaN          NaN          NaN
         2   116.0597    93.000  0.919876485  0.027405286  0.050257386  0.002460843  2  0.006896  0.993104   607.6399    86.3304  1.451E-01  1.531E-02  0.349071581  0.043357138  0.411826073  0.195745207  0.926395330  0.027223108  0.046128111  0.000253450
         3   148.0892    93.000  0.822111441  0.010308413  0.082876857  0.084703290  2  0.217851  0.782149   663.1339    98.4428  2.160E-01  1.633E-02  0.405727319  0.014816021  0.245208144  0.334248516  0.962485761  0.008788776  0.028150601  0.000574862
         4   144.2123    93.000  0.013978657  0.872736445  0.000000000  0.113284898  1  1.000000  0.000000   550.7703        NaN  1.068E-01        NaN  0.013978657  0.872736445  0.000000000  0.113284898          NaN          NaN          NaN          NaN
         5   141.1894    93.000  0.856769726  0.005674412  0.135671281  0.001884581  2  0.079519  0.920481   463.0632   121.0770  6.537E-02  1.713E-02  0.476268077  0.008266157  0.500383976  0.015081790  0.908688520  0.005320772  0.085906863  0.000083845
         6   128.7553    93.000  0.212018350  0.582794550  0.202004723  0.003182376  1  1.000000  0.000000   425.7738        NaN  5.602E-02        NaN  0.212018350  0.582794550  0.202004723  0.003182376          NaN          NaN          NaN          NaN
         7   124.2777    93.000  0.396710670  0.040419607  0.273954915  0.288914808  2  0.902744  0.097256   655.8545    86.3569  2.028E-01  1.549E-02  0.355421113  0.041551905  0.292297514  0.310729468  0.942844353  0.025442788  0.031338816  0.000374044
         8   135.0145    93.000  0.689254247  0.191202796  0.119542587  0.000000370  2  0.060595  0.939405   346.1042   180.9700  4.038E-02  2.107E-02  0.502494778  0.234235140  0.263267489  0.000002593  0.705507692  0.187457744  0.107034386  0.000000177
         9   112.9613    93.000  0.043179372  0.924256623  0.007956651  0.024607354  1  1.000000  0.000000   434.6984        NaN  5.850E-02        NaN  0.043179372  0.924256623  0.007956651  0.024607354          NaN          NaN          NaN          NaN
        10   147.2238    93.000  0.006700187  0.001128980  0.485495009  0.506675824  1  1.000000  0.000000   748.9732        NaN  3.924E-01        NaN  0.006700187  0.001128980  0.485495009  0.506675824          NaN          NaN          NaN          NaN
        11   116.8536    93.000  0.566693615  0.322137262  0.110386005  0.000783118  2  0.138914  0.861086   325.3330   189.6971  3.716E-02  2.153E-02  0.437154859  0.367912584  0.191990196  0.002942361  0.594614281  0.312270891  0.092797112  0.000317716
        12   117.9082    93.000  0.097594517  0.040822976  0.786243954  0.075338553  1  1.000000  0.000000   609.8263        NaN  1.469E-01        NaN  0.097594517  0.040822976  0.786243954  0.075338553          NaN          NaN          NaN          NaN
        13   129.2769    93.000  0.000066926  0.000005347  0.999533364  0.000394363  1  1.000000  0.000000   603.9483        NaN  1.415E-01        NaN  0.000066926  0.000005347  0.999533364  0.000394363          NaN          NaN          NaN          NaN
        14   148.5343    93.000  0.481278120  0.000313955  0.005768849  0.512639076  2  0.855756  0.144244   739.3892    84.5833  3.864E-01  1.594E-02  0.395407463  0.000334836  0.006621863  0.597635838  0.998580804  0.000188166  0.000630114  0.000600917
        15   156.7923    93.000  0.001605718  0.335353498  0.000000000  0.663040783  1  1.000000  0.000000   771.5760        NaN  4.984E-01        NaN  0.001605718  0.335353498  0.000000000  0.663040783          NaN          NaN          NaN          NaN
        16   130.1968    93.000  0.997411086  0.000000077  0.000272086  0.002316750  2  0.002644  0.997356   748.1244    73.8363  4.086E-01  1.537E-02  0.359101401  0.000000135  0.003007708  0.637890757  0.999286919  0.000000077  0.000264047  0.000448957
        17   127.0680    93.000  0.832515412  0.000318423  0.000004247  0.167161918  2  0.235770  0.764230   749.9934    71.9725  4.137E-01  1.528E-02  0.352522532  0.000465560  0.000013183  0.646998726  0.999303950  0.000267296  0.000001142  0.000427612
        18   134.3212    93.000  0.000006239  0.031121429  0.000123605  0.968748726  1  1.000000  0.000000   814.3080        NaN  6.138E-01        NaN  0.000006239  0.031121429  0.000123605  0.968748726          NaN          NaN          NaN          NaN
        19   152.0387    93.000  0.626227949  0.330668671  0.043103380  0.000000000  1  1.000000  0.000000   201.9221        NaN  2.325E-02        NaN  0.626227949  0.330668671  0.043103380  0.000000000          NaN          NaN          NaN          NaN
        20   154.7212    93.000  0.000383484  0.340673607  0.000012538  0.658930371  1  1.000000  0.000000   770.5996        NaN  4.946E-01        NaN  0.000383484  0.340673607  0.000012538  0.658930371          NaN          NaN          NaN          NaN
        21   113.2751    93.000  0.347157644  0.340762289  0.311574888  0.000505179  1  1.000000  0.000000   405.6233        NaN  5.084E-02        NaN  0.347157644  0.340762289  0.311574888  0.000505179          NaN          NaN          NaN          NaN
        22   138.8350    93.000  0.624281200  0.000004670  0.364908202  0.010805928  2  0.538022  0.461978   469.2851   116.8687  6.723E-02  1.688E-02  0.468431016  0.000005344  0.515022319  0.016541322  0.915778397  0.000003410  0.084139563  0.000078630
        23   120.0082    93.000  0.913862410  0.053215329  0.001642373  0.031279888  2  0.043840  0.956160   733.0535    76.0913  3.639E-01  1.520E-02  0.326976027  0.085160049  0.011473728  0.576390197  0.947043722  0.051409242  0.001086529  0.000460507
        24   123.6499    93.000  0.108582013  0.000000026  0.891377428  0.000040533  1  1.000000  0.000000   578.5564        NaN  1.209E-01        NaN  0.108582013  0.000000026  0.891377428  0.000040533          NaN          NaN          NaN          NaN
        25   147.3233    93.000  0.014267381  0.091739589  0.879399795  0.014593235  1  1.000000  0.000000   601.5260        NaN  1.416E-01        NaN  0.014267381  0.091739589  0.879399795  0.014593235          NaN          NaN          NaN          NaN
        26   129.9961    93.000  0.925789523  0.000234033  0.004522368  0.069454076  2  0.100848  0.899152   743.6692    74.4479  3.945E-01  1.538E-02  0.359121831  0.000376649  0.023719043  0.616782477  0.997236633  0.000216051  0.002101996  0.000445320
        27   161.9446    93.000  0.477765432  0.040402634  0.079921721  0.401910213  2  0.887711  0.112289   699.9557   102.1428  2.874E-01  1.672E-02  0.418513309  0.042323338  0.088416028  0.450747325  0.964376901  0.024628745  0.010161732  0.000832622
        28   133.2732    93.000  0.489552588  0.002235869  0.505369096  0.002842447  2  0.905849  0.094151   456.6958   113.2156  6.326E-02  1.660E-02  0.463278545  0.002284059  0.531419269  0.003018128  0.912628333  0.001459898  0.085898211  0.000013558
        29   123.5143    93.000  0.450580577  0.000727981  0.039902564  0.508788878  2  0.815014  0.184986   741.4756    71.4026  3.860E-01  1.520E-02  0.346088716  0.000780661  0.046776893  0.606353730  0.995067199  0.000453473  0.004081783  0.000397545
        30   151.0506    93.000  0.025264289  0.516527369  0.000152722  0.458055620  1  1.000000  0.000000   721.5551        NaN  3.456E-01        NaN  0.025264289  0.516527369  0.000152722  0.458055620          NaN          NaN          NaN          NaN
        31   148.2280    93.000  0.095885836  0.111195862  0.124443178  0.668475124  1  1.000000  0.000000   770.3955        NaN  4.791E-01        NaN  0.095885836  0.111195862  0.124443178  0.668475124          NaN          NaN          NaN          NaN
